time,gFx,gFy,gFz,TgF
0.1740,0.1981,0.9357,-0.2319,0.98
0.1750,0.1975,0.9347,-0.2294,0.98
0.1750,0.1964,0.9340,-0.2269,0.98
0.1760,0.1952,0.9335,-0.2249,0.98
0.1760,0.1941,0.9334,-0.2237,0.98
0.1770,0.1933,0.9336,-0.2230,0.98
0.1770,0.1928,0.9339,-0.2229,0.98
0.1770,0.1928,0.9344,-0.2232,0.98
0.1770,0.1935,0.9348,-0.2236,0.98
0.1780,0.1947,0.9351,-0.2242,0.98
0.1780,0.1961,0.9354,-0.2247,0.98
0.1780,0.1975,0.9357,-0.2251,0.98
0.1780,0.1987,0.9360,-0.2254,0.98
0.1790,0.1995,0.9363,-0.2255,0.98
0.1790,0.2001,0.9367,-0.2258,0.98
0.1790,0.2004,0.9372,-0.2263,0.98
0.1800,0.2016,0.9374,-0.2268,0.99
0.1800,0.2032,0.9375,-0.2275,0.99
0.1800,0.2059,0.9371,-0.2274,0.99
0.1810,0.2067,0.9369,-0.2264,0.99
0.1810,0.2072,0.9369,-0.2250,0.99
0.1810,0.2085,0.9369,-0.2244,0.99
0.1810,0.2104,0.9367,-0.2241,0.99
0.1820,0.2113,0.9366,-0.2237,0.99
0.1820,0.2125,0.9363,-0.2232,0.99
0.1820,0.2133,0.9361,-0.2231,0.99
0.1820,0.2135,0.9360,-0.2230,0.99
0.1820,0.2135,0.9358,-0.2230,0.99
0.1830,0.2129,0.9357,-0.2232,0.99
0.1830,0.2121,0.9355,-0.2235,0.98
0.1840,0.2110,0.9354,-0.2242,0.98
0.1840,0.2100,0.9353,-0.2253,0.98
0.1840,0.2091,0.9352,-0.2265,0.98
0.1840,0.2081,0.9351,-0.2277,0.98
0.1850,0.2072,0.9350,-0.2289,0.98
0.1860,0.2064,0.9349,-0.2299,0.98
0.1860,0.2057,0.9349,-0.2307,0.98
0.1860,0.2050,0.9349,-0.2313,0.98
0.1870,0.2045,0.9350,-0.2316,0.98
0.1870,0.2042,0.9351,-0.2319,0.98
0.1880,0.2040,0.9354,-0.2322,0.99
0.1880,0.2043,0.9355,-0.2325,0.99
0.1890,0.2049,0.9357,-0.2330,0.99
0.1890,0.2056,0.9360,-0.2334,0.99
0.1900,0.2065,0.9363,-0.2338,0.99
0.1900,0.2075,0.9366,-0.2341,0.99
0.1910,0.2085,0.9367,-0.2342,0.99
0.1920,0.2094,0.9368,-0.2342,0.99
0.1930,0.2101,0.9370,-0.2341,0.99
0.1930,0.2105,0.9373,-0.2339,0.99
